Options,Statement,Location,Variables,Num of config var,Num of program var,,,,
max_allowed_packet,if (res->length() + tmp_value.length() > thd->variables.max_allowed_packet),\mysql-8.0.17\sql\item_strfunc.cc,max_allowed_packet,1,2,,,,
max_allowed_packet,if (tmp_value.length() + sep_str->length() + res2->length() >thd->variables.max_allowed_packet),\mysql-8.0.17\sql\item_strfunc.cc,max_allowed_packet,1,3,,,,
max_allowed_packet,if ((ulonglong)(orig_len - length + res2->length()) >(ulonglong)current_thd->variables.max_allowed_packet),\mysql-8.0.17\sql\item_strfunc.cc,max_allowed_packet,1,3,,,,
max_allowed_packet,if (length > current_thd->variables.max_allowed_packet / (uint)count),mysql-8.0.17\sql\item_strfunc.cc,max_allowed_packet,1,3,,,,
max_allowed_packet,if (tot_length > current_thd->variables.max_allowed_packet),\mysql-8.0.17\sql\item_strfunc.cc,max_allowed_packet,1,1,,,,
max_allowed_packet,if (byte_count > current_thd->variables.max_allowed_packet),\mysql-8.0.17\sql\item_strfunc.cc,max_allowed_packet,1,1,,,,
max_allowed_packet,if (output_buf_size > current_thd->variables.max_allowed_packet),\mysql-8.0.17\sql\item_strfunc.cc,max_allowed_packet,1,1,,,,
max_allowed_packet,if (cast_length >= 0 && static_cast<ulonglong>(cast_length) > thd->variables.max_allowed_packet),\mysql-8.0.17\sql\item_strfunc.cc,max_allowed_packet,1,2,,,,
max_allowed_packet,if (tmp_value.length() > current_thd->variables.max_allowed_packet),\mysql-8.0.17\sql\item_strfunc.cc,max_allowed_packet,1,1,,,,
max_allowed_packet,if (new_length > current_thd->variables.max_allowed_packet),\mysql-8.0.17\sql\item_strfunc.cc,max_allowed_packet,1,1,,,,
max_allowed_packet,if (new_size > current_thd->variables.max_allowed_packet),\mysql-8.0.17\sql\item_strfunc.cc,max_allowed_packet,1,1,,,,
max_allowed_packet,if (str_value.length() + length > current_thd->variables.max_allowed_packet),\mysql-8.0.17\sql\item.cc,max_allowed_packet,1,2,,,,
max_allowed_packet,if (result == OK && dest->length() > thd->variables.max_allowed_packet),\mysql-8.0.17\sql\json_binary.cc,max_allowed_packet,1,2,,,,
max_allowed_packet,if (buffer->length() > current_thd->variables.max_allowed_packet),\mysql-8.0.17\sql\json_dom.cc,max_allowed_packet,1,1,,,,
"net_buffer_length,max_allowed_packet",if (global_system_variables.net_buffer_length >global_system_variables.max_allowed_packet),\mysql-8.0.17\sql\mysqld.cc,"net_buffer_length,max_allowed_packet",2,0,,,,
max_allowed_packet,if (val > (longlong)global_system_variables.max_allowed_packet),\mysql-8.0.17\sql\sys_vars.cc,max_allowed_packet,1,1,,,,
max_allowed_packet,if (mysql->options.max_allowed_packet),\mysql-8.0.17\sql-common\client.cc,max_allowed_packet,1,0,,,,
max_error_count,if (expected_errors->count() >= MAX_ERROR_COUNT),\mysql-8.0.17\client\mysqltest.cc,max_error_count,1,1,,,,
max_error_count,if (m_allow_unlimited_conditions ||m_conditions_list.elements() < thd->variables.max_error_count),\mysql-8.0.17\sql\sql_error.cc,max_error_count,1,2,,,,
net_buffer_length,if (total_length + row_length < opt_net_buffer_length),\mysql-8.0.17\client\mysqldump.cc,net_buffer_length,1,2,,,,
net_buffer_length,if (thd->get_protocol_classic()->get_output_packet()->alloc(thd->variables.net_buffer_length)),\mysql-8.0.17\sql\sql_connect.cc,net_buffer_length,1,2,,,,
sort_buffer_size,"if (!(*tempfile++ = new (thd->mem_root) Unique(refpos_order_cmp, (void *)table->file,table->file->ref_length, thd->variables.sortbuff_size)))",\mysql-8.0.17\sql\sql_delete.cc,sort_buffer_size,1,4,,,,
max_user_connections,if (global_system_variables.max_user_connections &&!uc->user_resources.user_conn &&global_system_variables.max_user_connections < (uint)uc->connections &&!thd->is_admin_connection()),\mysql-8.0.17\sql\sql_connect.cc,max_user_connections,1,3,,,,
max_user_connections,"if ((uc = thd->get_user_connect()) &&(uc->user_resources.conn_per_hour || uc->user_resources.user_conn || global_system_variables.max_user_connections) && check_for_max_user_connections(thd, uc))",,max_user_connections,1,6,,,,
Options,Statement,Function call？,Num of config var,Num of program var,Type,,totl,293,
