Options,Statement,Location,Variables,Num of config var,Num of program var,,,,
fsync,if (!enableFsync),src\backend\storage\file\fd.c:470,enableFsync,1,0,,,,
fsync,if (!enableFsync),src\backend\storage\file\fd.c:3345,enableFsync,1,0,,,,
fsync,if (enableFsync),src\backend\storage\sync\sync.c:392,enableFsync,1,0,,,,
ignore_checksum_failure,if (header_sane && ignore_checksum_failure),src\backend\storage\page\bufpage.c:158,ignore_checksum_failure,1,1,,,,
zero_damaged_pages ,if (zero_damaged_pages || InRecovery),src\backend\storage\smgr\md.c:679,zero_damaged_pages ,1,1,,,,
full_page_writes,if (fullPageWrites == Insert->fullPageWrites),src\backend\access\transam\xlog.c:10218,fullPageWrites,1,1,,,,
full_page_writes,if (fullPageWrites),src\backend\access\transam\xlog.c:10237,fullPageWrites,1,0,,,,
full_page_writes,if (!fullPageWrites),src\backend\access\transam\xlog.c:10256,fullPageWrites,1,0,,,,
wal_compression,if (wal_compression),src\backend\access\transam\xloginsert.c:633,wal_compression,1,0,,,,
wal_init_zero,if (wal_init_zero),src\backend\access\transam\xlog.c:3357,wal_init_zero,1,0,,,,
wal_recycle,"if (wal_recycle &&
		*endlogSegNo <= recycleSegNo &&
		lstat(path, &statbuf) == 0 && S_ISREG(statbuf.st_mode) &&
		InstallXLogFileSegment(endlogSegNo, path,
							   true, recycleSegNo, true))",src\backend\access\transam\xlog.c:4250,wal_recycle,1,10,,,,
log_checkpoints,if (log_checkpoints && serialized_xacts > 0),src\backend\access\transam\twophase.c:1832,log_checkpoints,1,1,,,,
log_checkpoints,if (!log_checkpoints),src\backend\access\transam\xlog.c:8867,log_checkpoints,1,0,,,,
log_checkpoints,if (log_checkpoints),src\backend\access\transam\xlog.c:9206,log_checkpoints,1,0,,,,
log_checkpoints,if (log_checkpoints),src\backend\access\transam\xlog.c:9733,log_checkpoints,1,0,,,,
log_connections,if (Log_connections),src\backend\postmaster\postmaster.c:4410,Log_connections,1,0,,,,
log_connections,if (Log_connections),src\backend\utils\init\postinit.c:248,Log_connections,1,0,,,,
exit_on_error,"if (PG_exception_stack == NULL ||
				ExitOnAnyError ||
				proc_exit_inprogress)",src\backend\utils\error\elog.c:375,ExitOnAnyError,1,3,,,,
restart_after_crash,if (!restart_after_crash),src\backend\postmaster\postmaster.c:4203,restart_after_crash,1,0,,,,
remove_temp_files_after_crash,if (remove_temp_files_after_crash),src\backend\postmaster\postmaster.c:4041,remove_temp_files_after_crash,1,0,,,,
log_duration,"if (log_duration || log_min_duration_sample >= 0 ||
		log_min_duration_statement >= 0 || xact_is_sampled)",src\backend\tcop\postgres.c:2327,log_duration,3,1,,,,
debug_print_parse,if (Debug_print_parse),src\backend\tcop\postgres.c:740,Debug_print_parse,1,0,,,,
debug_print_rewritten,if (Debug_print_rewritten),src\backend\tcop\postgres.c:815,Debug_print_rewritten,1,0,,,,
debug_print_plan,if (Debug_print_plan),src\backend\tcop\postgres.c:897,Debug_print_plan,1,0,,,,
log_parser_stats,if (log_parser_stats),src\backend\tcop\postgres.c:599,log_parser_stats,1,0,,,,
log_parser_stats,if (log_parser_stats),src\backend\tcop\postgres.c:604,log_parser_stats,1,0,,,,
log_parser_stats,if (log_parser_stats),src\backend\tcop\postgres.c:653,log_parser_stats,1,0,,,,
log_parser_stats,if (log_parser_stats),src\backend\tcop\postgres.c:659,log_parser_stats,1,0,,,,
log_parser_stats,if (log_parser_stats),src\backend\tcop\postgres.c:716,log_parser_stats,1,0,,,,
log_parser_stats,if (log_parser_stats),src\backend\tcop\postgres.c:744,log_parser_stats,1,0,,,,
log_parser_stats,if (log_parser_stats),src\backend\tcop\postgres.c:758,log_parser_stats,1,0,,,,
log_parser_stats,if (log_parser_stats),src\backend\tcop\postgres.c:1461,log_parser_stats,1,0,,,,
log_parser_stats,if (log_parser_stats),src\backend\tcop\postgres.c:1483,log_parser_stats,1,0,,,,
log_planner_stats,if (log_planner_stats),src\backend\tcop\postgres.c:842,log_planner_stats,1,0,,,,
log_planner_stats,if (log_planner_stats),src\backend\tcop\postgres.c:848,log_planner_stats,1,0,,,,
log_executor_stats,"	if (log_executor_stats && portal->strategy != PORTAL_MULTI_QUERY)
",src\backend\tcop\pquery.c,log_executor_stats,1,1,,,,
log_executor_stats,"	if (log_executor_stats && portal->strategy != PORTAL_MULTI_QUERY)
",src\backend\tcop\pquery.c,log_executor_stats,1,1,,,,
log_executor_stats,"			if (log_executor_stats)
",src\backend\tcop\pquery.c,log_executor_stats,1,0,,,,
